"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","20-232","MIN","@","LAL",1,0,"19:56",4,10,0.4,0,2,0,0,0,NA,1,2,3,3,1,0,0,0,8,7,-4,18.3
2,2,"2015-10-30","20-234","MIN","@","DEN",17,0,"17:36",3,6,0.5,0,1,0,4,4,1,0,4,4,3,0,0,4,3,10,5.1,-4,17.5
3,3,"2015-11-02","20-237","MIN","","POR",-5,0,"16:01",3,7,0.429,0,1,0,4,4,1,0,0,0,5,0,0,2,1,10,7.4,-8,16.5
4,4,"2015-11-05","20-240","MIN","","MIA",-12,0,"20:11",1,5,0.2,1,1,1,0,0,NA,0,2,2,3,0,0,3,3,3,-1.6,-4,9
5,5,"2015-11-07","20-242","MIN","@","CHI",9,0,"19:18",3,9,0.333,1,3,0.333,1,1,1,1,3,4,4,0,0,3,3,8,3.1,7,18
6,6,"2015-11-09","20-244","MIN","@","ATL",10,0,"15:53",5,7,0.714,1,1,1,2,2,1,1,2,3,6,3,0,1,2,13,16.8,9,31.8
7,7,"2015-11-10","20-245","MIN","","CHO",-9,1,"36:34",9,19,0.474,1,4,0.25,1,2,0.5,1,4,5,8,2,0,8,2,20,10.6,13,38.8
8,8,"2015-11-12","20-247","MIN","","GSW",-13,1,"25:32",3,11,0.273,0,2,0,7,8,0.875,1,1,2,1,1,0,2,2,13,6,-22,18
9,9,"2015-11-13","20-248","MIN","@","IND",-4,1,"40:05",11,22,0.5,4,7,0.571,0,0,NA,1,5,6,4,1,0,2,1,26,18.6,0,42.5
10,10,"2015-11-15","20-250","MIN","","MEM",-8,1,"17:29",8,15,0.533,4,7,0.571,5,6,0.833,1,2,3,3,0,0,1,5,25,17.7,2,34.8
11,11,"2015-11-17","20-252","MIN","@","MIA",12,0,"28:29",5,12,0.417,2,5,0.4,5,6,0.833,0,4,4,3,1,0,0,0,17,14.5,23,29.5
12,12,"2015-11-18","20-253","MIN","@","ORL",-3,0,"29:50",6,12,0.5,2,5,0.4,0,0,NA,0,3,3,3,0,0,3,4,14,6.4,2,21.8
13,13,"2015-11-20","20-255","MIN","","DET",-10,0,"26:11",6,13,0.462,2,5,0.4,0,0,NA,1,2,3,2,0,1,2,2,14,7.9,-4,22.8
14,14,"2015-11-23","20-258","MIN","","PHI",5,0,"24:52",4,12,0.333,0,3,0,4,4,1,0,5,5,0,0,0,3,2,12,2.9,-6,16.8
15,15,"2015-11-25","20-260","MIN","","ATL",4,0,"26:53",7,13,0.538,2,5,0.4,2,2,1,1,4,5,6,0,0,2,4,18,14.2,1,33.3
16,16,"2015-11-27","20-262","MIN","@","SAC",10,1,"29:14",7,14,0.5,1,6,0.167,4,4,1,1,7,8,4,0,0,2,2,19,14.8,-2,34.5
17,17,"2015-11-29","20-264","MIN","@","LAC",-8,1,"32:30",6,15,0.4,3,5,0.6,3,3,1,0,3,3,7,0,0,1,5,18,12.7,0,33.3
18,18,"2015-12-01","20-266","MIN","","ORL",-3,0,"28:30",3,11,0.273,0,5,0,6,6,1,1,4,5,5,1,1,2,1,12,10.2,3,28.8
19,19,"2015-12-05","20-270","MIN","","POR",-6,0,"22:45",4,14,0.286,2,5,0.4,2,2,1,1,0,1,2,1,0,1,4,12,4.3,0,18.8
20,20,"2015-12-07","20-272","MIN","","LAC",-4,0,"25:21",7,16,0.438,1,2,0.5,6,6,1,0,3,3,2,1,0,2,2,21,13.1,-4,29.3
